Nof Learners;alpha;batch_size;units;n_layers;l2_lambda;learning_rate;epochs;time_steps_in;coverage;avg_width;avg_width_transformed;cwc;coverage_conf;avg_width_conf;avg_width_transformed_conf;cwc_conf
1;0.05;16;16;1;0.0001;0.001;183.0;6;0.0822784810126582;0.0339898224920034;;2.847971282457449e-09;0.3818565400843881;0.1629589919395807;25.402829938730854;0.0003520140408873
1;0.05;16;16;1;0.0001;0.001;153.0;6;0.1139240506329113;0.0316901132464408;4.811509609222412;8.615826302316005e-09;0.3860759493670886;0.1619805407461788;24.59350796053864;0.0003034627006834
1;0.05;16;16;1;0.0001;0.001;145.0;12;0.0328947368421052;0.0106822755187749;1.5816174745559692;1.5824354232772483e-10;0.3223684210526316;0.1403642356619839;20.782330199727085;3.864884220734183e-05
1;0.05;16;16;1;0.0001;0.0001;680.0;6;0.050632911392405;0.013121192343533;1.9921913146972656;3.9349940034414167e-10;0.3860759493670886;0.140420425199876;21.320035289836746;0.0003112700264184
1;0.05;16;16;1;0.0001;0.0001;524.0;12;0.0986842105263157;0.0312975794076919;4.633920192718506;4.171427024598306e-09;0.3684210526315789;0.1616230334576278;23.92990802362685;0.0001745022787853
1;0.05;16;16;1;0.0001;1e-05;1000.0;6;0.0379746835443038;0.0211891587823629;3.217149496078491;2.0376652602699947e-10;0.3164556962025316;0.1603414673802952;24.34464742651356;3.072362628831e-05
1;0.05;16;16;1;0.0001;1e-05;1000.0;12;0.0657894736842105;0.0470213741064071;6.961986541748047;8.170025741861862e-10;0.3355263157894737;0.181325155570164;26.84700442960948;5.77732614324896e-05
1;0.05;16;32;1;0.0001;0.001;137.0;6;0.0443037974683544;0.0247317198663949;3.755017995834351;2.81321656122812e-10;0.3987341772151899;0.1519515600191744;23.0708076645064;0.000451542853962
1;0.05;16;32;1;0.0001;0.001;143.0;12;0.0723684210526315;0.0294422060251235;4.359212875366211;1.1550695924868727e-09;0.375;0.1561133288237743;23.1141410979304;0.000216377266585
1;0.05;16;32;1;0.0001;0.0001;628.0;6;0.0632911392405063;0.0305839292705059;4.643558025360107;7.33265765173548e-10;0.4430379746835443;0.1544612608862372;23.45185558525261;0.0016088911384742
1;0.05;16;32;1;0.0001;0.0001;830.0;12;0.0723684210526315;0.0298702511936426;4.4225897789001465;1.1545601720675662e-09;0.3881578947368421;0.1569442907090014;23.237173323345456;0.0003254855598752
1;0.05;16;32;1;0.0001;1e-05;861.0;6;0.0696202531645569;0.0332899987697601;5.054421901702881;1.0034995035041763e-09;0.3734177215189873;0.1657698555682183;25.168839687494945;0.0002034861035894
1;0.05;16;32;1;0.0001;1e-05;1000.0;12;0.0460526315789473;0.0354552008211612;5.249496936798096;3.043379846094308e-10;0.3421052631578947;0.1657215529180335;24.536734857787625;7.347361580525047e-05
1;0.05;64;16;1;0.0001;0.001;141.0;6;0.0949367088607595;0.038942452520132;5.912633419036865;3.454707403731712e-09;0.3417721518987341;0.1738742524862311;26.39933039459066;7.194862809992759e-05
1;0.05;64;16;1;0.0001;0.001;453.0;12;0.0657894736842105;0.021968925371766;3.2527196407318115;8.38480406479305e-10;0.3815789473684211;0.1515357734859277;22.43638820674704;0.0002672999851429
1;0.05;64;16;1;0.0001;0.0001;883.0;6;0.0886075949367088;0.0289497636258602;4.395443916320801;2.568083014503118e-09;0.379746835443038;0.1600025790102249;24.29319400014108;0.0002499481368193
1;0.05;64;16;1;0.0001;0.0001;1000.0;12;0.0855263157894736;0.03627160936594;5.37037467956543;2.193061674257645e-09;0.3881578947368421;0.1651430190728246;24.451077130616994;0.0003223202083304
1;0.05;64;16;1;0.0001;1e-05;148.0;6;0.0;0.0647659003734588;9.83340835571289;2.6155584100147613e-11;0.0189873417721519;0.2601147138866407;39.4932209582418;5.706904631591553e-11
1;0.05;64;16;1;0.0001;1e-05;1000.0;12;0.0131578947368421;0.0279369931668043;4.136351108551025;5.5037725656484755e-11;0.1907894736842105;0.1323781941094191;19.599916803954265;2.427129212869016e-07
1;0.05;64;32;1;0.0001;0.001;246.0;6;0.0886075949367088;0.0150932529941201;2.291609048843384;2.604728564095408e-09;0.4430379746835443;0.1412500655484952;21.445999596562466;0.0016340294013642
1;0.05;64;32;1;0.0001;0.001;105.0;12;0.0197368421052631;0.0181340910494327;2.684933423995972;7.879296944502057e-11;0.3421052631578947;0.1529000958565124;22.638389791200822;7.460278174918282e-05
1;0.05;64;32;1;0.0001;0.0001;525.0;6;0.050632911392405;0.0085365194827318;1.2960997819900513;3.9532745259078317e-10;0.3544303797468354;0.1403209354798337;21.30492976413236;0.0001138552723999
1;0.05;64;32;1;0.0001;0.0001;405.0;12;0.0592105263157894;0.0103081492707133;1.5262248516082764;6.096294404990866e-10;0.3881578947368421;0.1423346134811693;21.074064360237447;0.0003311260399997
1;0.05;64;32;1;0.0001;1e-05;136.0;6;0.0;0.0715333521366119;10.86091136932373;2.5966319557927087e-11;0.0189873417721519;0.2828974252038469;42.95232036340033;5.5311763623900244e-11
1;0.05;64;32;1;0.0001;1e-05;172.0;12;0.0;0.04301683232188225;6.369072914123535;2.6763837775617748e-11;0.019736842105263157;0.24161943231625266;35.774175675057414;6.085867362588232e-11
