Nof Learners;alpha;batch_size;kernel_size;dilations;l2_lambda;learning_rate;epochs;time_steps_in;coverage;avg_width;avg_width_transformed;cwc;coverage_conf;avg_width_conf;avg_width_transformed_conf;cwc_conf
1;0.05;16;3;[1, 2];0.0001;0.001;217.0;6;0.7721518987341772;0.1298228055238723;19.710997;0.5329047766710714;0.9556962025316456;0.2484422514233945;37.72099080524605;0.6847720720513343
1;0.05;16;3;[1, 2];0.0001;0.001;82.0;12;0.9736842105263158;0.793605387210846;117.501220703125;0.1753719322953947;0.9736842105263158;0.9433440731696032;139.67153333686383;0.0481401100056004
1;0.05;16;3;[1, 2, 4];0.0001;0.001;99.0;6;0.0063291139240506;0.1676730066537857;25.45779800415039;3.2722458381164195e-11;0.120253164556962;0.3475468035164871;52.768036454058574;7.815399979472392e-09
1;0.05;16;3;[1, 2, 4];0.0001;0.001;79.0;12;0.0;0.7882746458053589;116.71195220947266;5.921298539031926e-12;0.0;0.5167137932198692;76.5046496267655;1.3516009554107056e-11
1;0.05;16;7;[1, 2];0.0001;0.001;161.0;6;0.1392405063291139;0.2394907921552658;36.36190032958984;2.1907927571767707e-08;0.4177215189873418;0.3811609932611324;57.87167939328916;0.0005769897109413
1;0.05;16;7;[1, 2];0.0001;0.001;76.0;12;0.7894736842105263;0.792669415473938;117.3626480102539;0.1437150545886467;1.0;0.9468179782572356;140.185879760461;0.0393982107197311
1;0.05;16;7;[1, 2, 4];0.0001;0.001;104.0;6;0.0189873417721519;0.1947538256645202;29.56947135925293;6.211048128861489e-11;0.1455696202531645;0.3879647869993699;58.90469949985497;2.3508085830334723e-08
1;0.05;16;7;[1, 2, 4];0.0001;0.001;81.0;12;0.0;0.1421925872564315;21.05303382873535;2.3990200886284827e-11;0.1447368421052631;0.3507091651002776;51.92600265167542;2.4015949492931887e-08
1;0.05;32;3;[1, 2];0.0001;0.001;150.0;6;0.170886075949367;0.3982476890087127;60.46595764160156;7.131759332870721e-08;0.7025316455696202;0.5639525593717872;85.62492565085093;0.135360083965041
1;0.05;32;3;[1, 2];0.0001;0.001;162.0;12;0.4342105263157895;0.2180678993463516;32.28713607788086;0.001165293393373;0.7960526315789473;0.3680753471320976;54.49723974488319;0.4569703480370594
1;0.05;32;3;[1, 2, 4];0.0001;0.001;115.0;6;0.4430379746835443;1.065049171447754;161.70643615722656;-0.000123775565407;0.8734177215189873;1.2206407254038294;185.32989986875887;-0.2160126943050709
1;0.05;32;3;[1, 2, 4];0.0001;0.001;105.0;12;0.7828947368421053;1.1838903427124023;175.2868194580078;-0.1218670061562688;0.9473684210526316;1.316311400018083;194.893079649704;-0.2957203227408032
1;0.05;32;7;[1, 2];0.0001;0.001;216.0;6;0.0063291139240506;0.0349370315670967;5.304489612579346;3.794089711399373e-11;0.1012658227848101;0.192353084638136;29.20497176074378;3.936716339646966e-09
1;0.05;32;7;[1, 2];0.0001;0.001;117.0;12;1.0;1.4283535480499268;211.48204040527344;-0.3173321132890475;1.0;1.5592676005005734;230.8651772334314;-0.4143156286877687
1;0.05;32;7;[1, 2, 4];0.0001;0.001;117.0;6;0.0;0.147388607263565;22.378013610839844;2.384488439457767e-11;0.1835443037974683;0.3936075061820852;59.761433639029455;1.2443395277186724e-07
1;0.05;32;7;[1, 2, 4];0.0001;0.001;114.0;12;0.0;0.4398448169231415;65.1234359741211;1.5665795340386846e-11;0.17763157894736842;0.6802028291307566;100.71083799313242;5.084152488828356e-08
