Nof Learners;alpha;batch_size;units;n_layers;l2_lambda;learning_rate;epochs;time_steps_in;coverage;avg_width;cwc;coverage_conf;avg_width_conf;cwc_conf
2;0.05;32;64;2;0.0001;0.0001;573.0;12;0.1043083900226757;0.0393126340858469;6.5878407800914606e-09;0.1791383219954648;0.0823206889132253;1.9422312319782666e-07
2;0.05;32;64;3;0.0001;0.0001;523.3333333333334;12;0.1043083900226757;0.0401683996705076;5.470789811803675e-09;0.1564625850340136;0.0981355114971415;6.21024002498878e-08
2;0.05;32;128;2;0.0001;0.0001;482.3333333333333;12;0.1020408163265306;0.0504298517445725;5.471221117390393e-09;0.1927437641723356;0.0742086627984736;2.9972914863456424e-07
2;0.05;32;128;3;0.0001;0.0001;502.0;12;0.0521541950113378;0.0206785515691294;5.27326041317993e-10;0.1065759637188208;0.0788874154265472;8.922729204152342e-09
2;0.05;32;256;2;0.0001;0.0001;369.6666666666667;12;0.0770975056689342;0.0382997404401326;2.122397869665423e-09;0.1428571428571428;0.0701253150918503;1.2393950756372686e-07
2;0.05;32;256;3;0.0001;0.0001;445.3333333333333;12;0.0748299319727891;0.0341305036469521;2.0859743209675397e-09;0.1179138321995464;0.082137003641789;1.2284245115831874e-08
3;0.05;32;64;2;0.0001;0.0001;370.6666666666667;12;0.1065759637188208;0.0288749927998334;7.107611564303188e-09;0.1655328798185941;0.0641692209902739;9.393857939255873e-08
3;0.05;32;64;3;0.0001;0.0001;439.0;12;0.0952380952380952;0.0297592581343957;3.6643756852274112e-09;0.1564625850340135;0.0818053272053626;5.9357612128945893e-08
3;0.05;32;128;2;0.0001;0.0001;440.0;12;0.1632653061224489;0.0279665437937304;1.249872871326229e-07;0.2358276643990929;0.0493492456516857;1.8966315849333617e-06
3;0.05;32;128;3;0.0001;0.0001;470.6666666666667;12;0.1201814058956916;0.0238113024800123;6.815846468203618e-08;0.1655328798185941;0.060568963980812;3.75872874337092e-07
3;0.05;32;256;2;0.0001;0.0001;405.0;12;0.1201814058956916;0.018150086746085;1.9479996731749125e-08;0.1428571428571428;0.0379383186280976;3.689706917078616e-08
3;0.05;32;256;3;0.0001;0.0001;514.0;12;0.0498866213151927;0.0166961653383393;3.8258657928523503e-10;0.0952380952380952;0.0516615671244426;4.447405606096379e-09
6;0.05;32;64;2;0.0001;0.0001;565.0;12;0.0929705215419501;0.0628625385379588;3.616710372153847e-09;0.1587301587301587;0.1148924204648939;8.515815450461137e-08
6;0.05;32;64;3;0.0001;0.0001;698.6666666666666;12;0.0884353741496598;0.0513019939003305;3.964718369293028e-09;0.1609977324263038;0.1140618196755317;1.250090206538696e-07
6;0.05;32;128;2;0.0001;0.0001;793.3333333333334;12;0.2426303854875283;0.0697712876720525;3.2433511501551144e-06;0.3265306122448979;0.0891425261804573;6.118419492234507e-05
6;0.05;32;128;3;0.0001;0.0001;807.0;12;0.2312925170068027;0.0742656713805737;1.4128828737042032e-06;0.3061224489795918;0.102805952908043;2.3196207612187705e-05
6;0.05;32;256;2;0.0001;0.0001;648.0;12;0.5034013605442177;0.0798947397490076;0.0139771658955048;0.5260770975056689;0.0848688618637545;0.0231287928366661
6;0.05;32;256;3;0.0001;0.0001;737.3333333333334;12;0.39909297052154197;0.08476519492895364;0.0006611627164548297;0.43310657596371877;0.09171163274004364;0.001379145244730196
